Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,Elite%
G,73,Neto,4.5,4.5,Bournemouth,40,1.46,39,1.32,41,1.46,39,1.33,40,1.28,40,1.52,41,1.55,41,5.0966804375,0.02
M,74,O.Dango,5.0,5.0,Bournemouth,37,1.87,32,1.6,35,1.67,35,1.67,35,1.44,35,1.95,35,1.79,34,5.6705899375,0.0
G,75,Paulsen,4.0,4.0,Bournemouth,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
M,76,Philip,5.0,5.0,Bournemouth,22,1.07,23,1.15,28,1.27,25,1.2,26,1.06,25,1.4,27,1.34,27,3.9701589374999995,0.0
M,77,Scott,5.0,5.0,Bournemouth,35,1.45,37,1.53,36,1.42,37,1.48,36,1.29,38,1.73,38,1.55,38,4.8040498750000005,0.0
M,78,Semenyo,5.5,5.5,Bournemouth,79,4.13,67,3.56,64,3.1,62,3.12,60,2.43,61,3.64,60,3.15,57,9.6925464375,0.01
D,79,Senesi,5.0,5.0,Bournemouth,89,2.75,86,2.4,83,2.54,82,2.1,81,1.26,81,3.24,80,2.64,79,6.601855437499999,0.01
M,80,Sinisterra,5.0,5.0,Bournemouth,54,2.81,44,2.38,41,2.07,37,1.97,38,1.67,37,2.34,36,1.97,38,6.532852874999999,0.0
D,81,Smith,4.5,4.5,Bournemouth,67,2.12,66,1.9,62,1.92,61,1.63,61,1.05,60,2.4,60,1.97,61,5.3455794999999995,0.0
F,82,Solanke,7.5,7.5,Spurs,80,4.97,78,4.85,77,3.9,74,3.42,71,4.64,71,3.61,73,3.83,71,15.714706625,0.28
M,83,Tavernier,5.5,5.5,Bournemouth,70,3.42,63,3.26,60,2.88,60,2.97,56,2.23,57,3.51,57,2.98,57,9.096491375,0.0
G,84,Travers,4.5,4.5,Bournemouth,55,2.03,56,1.96,54,1.99,56,1.91,55,1.79,55,2.15,53,2.0,53,6.710674874999999,0.0
D,85,Zabarnyi,4.5,4.5,Bournemouth,91,2.54,89,2.25,87,2.41,85,1.92,83,1.13,83,2.89,82,2.38,81,6.1673469375,0.01
D,86,Ajer,4.5,4.5,Brentford,51,1.82,40,0.8,28,1.17,30,0.5,31,0.75,30,1.08,32,1.3,34,4.2094494375,0.0
M,87,Brierley,4.5,4.5,Brentford,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
D,88,Collins,4.5,4.5,Brentford,58,1.92,58,0.93,55,2.15,55,0.59,57,1.1,56,1.77,56,2.1,55,6.131225312499999,0.0
M,89,Damsgaard,5.0,5.0,Brentford,47,2.03,44,1.59,45,2.15,47,1.54,45,1.69,45,2.0,46,2.07,46,7.266548874999999,0.0
M,90,Dasilva,5.0,5.0,Brentford,9,0.44,12,0.5,11,0.56,11,0.47,14,0.62,15,0.73,14,0.7,15,2.6862908125,0.0
G,91,Flekken,4.5,4.5,Brentford,93,3.5,94,3.04,94,3.69,92,3.06,92,3.07,91,3.33,91,3.62,90,12.427435937499999,0.12
D,92,Henry,4.5,4.5,Brentford,20,0.77,54,1.02,76,3.25,73,1.02,75,1.64,73,2.56,72,2.96,71,9.0004335625,0.0
D,93,Hickey,4.5,4.5,Brentford,23,0.83,55,0.95,77,3.08,74,0.91,73,1.49,74,2.42,73,2.84,72,8.302695187500001,0.0
M,94,Janelt,5.0,5.0,Brentford,72,2.38,68,1.93,69,2.59,66,1.77,67,1.98,65,2.24,65,2.29,63,7.883351374999999,0.0
M,95,Jensen,5.5,5.5,Brentford,69,2.6,67,2.09,65,2.77,62,1.83,62,2.04,61,2.37,62,2.45,61,8.540849937499999,0.0
D,96,Ji-soo,4.0,4.0,Brentford,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.034,0.0
M,97,Konak,4.5,4.5,Brentford,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
M,98,Lewis-Potter,5.0,5.0,Brentford,49,2.19,27,1.17,20,1.19,20,0.9,19,0.9,22,1.22,21,1.22,23,4.5739120625,0.0
M,99,Mbeumo,7.0,7.0,Brentford,79,4.21,77,3.09,74,4.76,75,2.67,73,3.21,72,4.06,69,4.03,71,14.3014808125,0.05
D,100,Mee,4.5,4.5,Brentford,75,2.76,70,1.29,74,3.18,70,0.95,67,1.49,68,2.38,69,2.85,68,8.596008187499999,0.01
M,101,Nørgaard,5.0,5.0,Brentford,79,2.55,73,1.99,68,2.5,69,1.81,65,1.88,65,2.21,67,2.28,68,8.1974719375,0.0
M,102,Onyeka,5.0,5.0,Brentford,21,0.9,22,0.84,23,1.04,24,0.87,25,0.95,27,1.15,26,1.09,26,3.9685561875,0.0
M,103,Peart-Harris,4.5,4.5,Brentford,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
D,104,Pinnock,4.5,4.5,Brentford,77,2.69,76,1.26,71,2.94,73,0.91,70,1.44,70,2.33,69,2.76,68,8.062253437499999,0.01
D,105,Roerslev,4.5,4.5,Brentford,38,1.56,21,0.59,10,0.46,10,0.27,13,0.43,14,0.57,15,0.66,13,2.038217,0.0
M,106,Schade,5.5,5.5,Brentford,13,0.76,13,0.62,15,0.99,17,0.75,17,0.85,18,1.05,19,1.09,20,4.125279999999999,0.0
F,107,Thiago,6.0,6.0,Brentford,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
F,108,Toney,7.5,7.5,Brentford,92,5.07,87,3.71,87,5.75,84,3.12,84,3.75,83,4.87,81,4.78,80,16.701271187499998,0.1
G,109,Valdimarsson,4.0,4.0,Brentford,2,0.07,1,0.05,1,0.06,3,0.09,3,0.1,3,0.13,4,0.14,4,0.537141,0.04
F,110,Wissa,6.0,6.0,Brentford,39,2.03,38,1.62,37,2.21,40,1.52,39,1.73,40,2.11,40,2.17,40,7.636058875,0.03
M,111,Yarmoliuk,4.5,4.5,Brentford,6,0.36,6,0.33,6,0.38,8,0.36,9,0.41,9,0.45,9,0.43,9,1.7431216875,0.03
D,112,Zanka,4.5,4.5,Brentford,2,0.06,3,0.06,5,0.15,5,0.07,7,0.14,6,0.18,7,0.23,8,0.8506189375,0.0
M,113,Adingra,5.5,5.5,Brighton,21,1.17,21,1.18,21,0.94,21,1.46,19,1.15,19,0.98,18,1.02,19,3.8459909374999994,0.01
M,114,Baker-Boaitey,4.5,4.5,Brighton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
M,115,Baleba,5.0,5.0,Brighton,73,2.2,73,2.21,73,1.8,69,2.43,69,2.32,69,1.86,67,2.03,65,7.0017495625,0.0
D,116,Barco,4.0,4.0,Brighton,83,3.03,76,2.74,70,1.26,52,2.67,42,1.99,40,1.06,40,1.43,37,4.58505175,0.23
M,117,Buonanotte,5.0,5.0,Leicester,39,1.67,34,1.47,33,1.46,35,1.45,34,1.58,34,1.21,32,1.56,34,5.596431624999998,0.0
M,118,Cozier-Duberry,4.5,4.5,Brighton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
M,119,Dahoud,5.0,5.0,Brighton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1,2,0.11,1,0.44836824999999997,0.0
D,120,Dunk,4.5,4.5,Brighton,91,3.13,89,2.89,88,1.33,86,4.09,85,3.67,84,1.84,83,2.52,82,8.47060375,0.04
M,121,Enciso,5.5,5.5,Brighton,0,0.0,8,0.5,20,0.93,20,1.38,16,1.01,17,0.89,18,1.01,17,3.6806294375000004,0.0
D,122,Estupiñan,5.0,5.0,Brighton,0,0.0,0,0.0,0,0.0,21,1.13,43,2.15,46,1.35,44,1.7,47,5.809031374999999,0.0
F,123,Ferguson,5.5,5.5,Brighton,7,0.44,16,0.99,25,1.18,26,1.96,26,1.75,25,1.4,25,1.55,25,5.5785044374999995,0.0
M,124,Gilmour,5.0,5.0,Brighton,4,0.18,6,0.27,6,0.26,7,0.33,6,0.31,6,0.27,7,0.31,7,1.2490470625,0.0
M,125,Gross,6.5,6.5,Brighton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
M,126,Hinshelwood,5.0,5.0,Brighton,32,1.3,29,1.23,33,1.15,29,1.43,28,1.3,27,1.05,28,1.19,29,4.2208308125,0.0
M,127,I.Osman,5.0,5.0,Brighton,3,0.2,2,0.16,2,0.13,2,0.17,1,0.09,2,0.11,1,0.11,2,0.5160958125,0.0
D,128,Igor,4.5,4.5,Brighton,23,0.74,27,0.87,29,0.55,29,1.19,24,0.94,25,0.59,26,0.76,25,2.6977562500000003,0.0
F,129,João Pedro,5.5,5.5,Brighton,66,3.58,73,4.3,69,2.82,67,5.13,65,4.39,65,3.31,62,3.59,61,12.1665875625,0.19
M,130,Kozlowski,4.5,4.5,Brighton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
D,131,Lamptey,4.5,4.5,Brighton,7,0.27,9,0.39,11,0.32,10,0.51,9,0.43,8,0.3,8,0.35,8,1.2836611875,0.0
M,132,March,6.5,6.5,Brighton,0,0.0,0,0.0,0,0.0,11,0.78,23,1.45,27,1.35,27,1.47,26,5.07878875,0.0
M,133,Mazilu,4.5,4.5,Brighton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
M,134,Milner,5.0,5.0,Brighton,29,1.12,19,0.8,15,0.57,14,0.69,11,0.52,11,0.47,13,0.55,15,2.16578475,0.0
M,135,Minteh,5.5,5.5,Brighton,77,3.71,74,3.74,71,2.57,64,4.16,60,3.52,53,2.4,54,2.75,54,9.406617875,0.01
M,136,Mitoma,6.5,6.5,Brighton,82,3.58,79,3.75,77,2.56,73,4.39,74,3.93,73,2.92,74,3.38,73,11.43370925,0.02
M,137,Moder,4.5,4.5,Brighton,10,0.5,13,0.61,13,0.5,12,0.63,11,0.55,13,0.55,12,0.57,14,2.126933625,0.0
F,138,O’Mahony,4.5,4.5,Brighton,4,0.22,2,0.13,2,0.14,1,0.1,2,0.11,2,0.13,2,0.14,2,0.5533685625,0.01
D,139,Offiah,4.0,4.0,Brighton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
M,140,Peupion,4.5,4.5,Brighton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
M,141,Sarmiento,5.0,5.0,Brighton,9,0.55,6,0.43,5,0.28,4,0.33,4,0.3,4,0.25,4,0.27,4,1.1501798125,0.0
G,142,Steele,4.5,4.5,Brighton,93,3.52,92,3.31,63,2.07,26,1.08,31,1.23,29,1.01,28,0.98,30,4.1437883125,0.01
F,143,Undav,5.5,5.5,Brighton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
D,144,Van Hecke,4.5,4.5,Brighton,89,2.78,86,2.58,85,1.19,83,3.57,81,3.25,83,1.63,81,2.25,80,7.517430374999998,0.0
D,145,Veltman,4.5,4.5,Brighton,57,2.04,48,1.68,43,0.89,40,1.89,36,1.58,35,0.93,36,1.23,36,4.1134674375,0.0
G,146,Verbruggen,4.5,4.5,Brighton,0,0.0,0,0.0,30,0.97,69,2.8,64,2.56,65,2.21,66,2.33,64,8.240733,0.01
D,147,Webster,4.5,4.5,Brighton,7,0.25,10,0.34,12,0.26,13,0.56,13,0.55,13,0.35,14,0.45,14,1.6546093124999999,0.0
F,148,Welbeck,5.5,5.5,Brighton,63,3.16,45,2.51,28,1.27,23,1.78,24,1.67,22,1.2,23,1.41,26,5.24826675,0.01
M,149,Wieffer,5.0,5.0,Brighton,88,2.67,84,2.63,83,2.05,83,3.11,82,2.86,80,2.23,79,2.4,79,8.539729874999999,0.0
M,150,Andrey Santos,4.5,4.5,Chelsea,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
M,151,Ângelo,4.5,4.5,Chelsea,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
G,152,Arrizabalaga,4.5,4.5,Chelsea,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
D,153,B.Badiashile,4.5,4.5,Chelsea,48,1.22,45,1.73,45,1.83,43,1.5,41,1.33,42,1.68,43,1.91,41,4.415727062499999,0.0
G,154,Bergström,4.0,4.0,Chelsea,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
G,155,Bettinelli,4.0,4.0,Chelsea,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
F,156,Broja,5.5,5.5,Chelsea,6,0.41,8,0.55,10,0.72,9,0.63,9,0.64,11,0.79,9,0.74,11,2.6875644375,0.0
M,157,Caicedo,5.0,5.0,Chelsea,76,1.98,76,2.17,73,2.25,72,2.08,73,2.04,71,2.17,70,2.26,70,7.1030317499999995,0.01
M,158,Casadei,4.5,4.5,Chelsea,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
D,159,Chalobah,4.5,4.5,Chelsea,32,0.79,34,1.27,32,1.29,29,0.99,30,0.96,28,1.08,29,1.27,28,3.3334763124999998,0.0
D,160,Chilwell,5.0,5.0,Chelsea,45,1.45,29,1.35,29,1.44,26,1.19,26,1.08,29,1.43,32,1.8,30,4.1649316249999995,0.01
M,161,Chukwuemeka,5.0,5.0,Chelsea,3,0.19,5,0.32,6,0.37,6,0.37,6,0.38,8,0.47,8,0.47,7,1.6081779999999999,0.0
D,162,Colwill,4.5,4.5,Chelsea,47,1.25,45,1.77,44,1.85,42,1.5,44,1.5,42,1.73,43,1.94,43,5.031886125,0.01
D,163,Cucurella,5.0,5.0,Chelsea,47,1.19,69,2.63,68,2.81,66,2.32,67,2.12,63,2.52,60,2.8,62,6.954723625,0.06
F,164,D.D.Fofana,5.5,5.5,Chelsea,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.15,1,0.5270023125,0.0
F,165,Deivid,5.0,5.0,Chelsea,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
M,166,Dewsbury-Hall,6.0,6.0,Chelsea,16,0.67,18,0.83,24,1.16,23,1.05,25,1.06,23,1.09,25,1.29,25,3.9389198749999994,0.0
D,167,Disasi,4.5,4.5,Chelsea,31,0.8,28,1.07,30,1.22,28,0.98,28,0.9,30,1.16,29,1.29,29,3.2823751249999993,0.01
M,168,Enzo,5.0,5.0,Chelsea,87,2.63,84,3.0,82,3.31,82,3.03,81,2.82,82,3.17,79,3.37,80,10.068450625,0.01
M,169,Gallagher,6.0,6.0,Chelsea,10,0.4,9,0.41,6,0.26,8,0.34,6,0.25,6,0.3,5,0.24,5,0.850133125,0.01
D,170,Gilchrist,4.0,4.0,Chelsea,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
D,171,Gusto,5.0,5.0,Chelsea,82,2.16,79,3.23,78,3.42,50,1.93,41,1.49,34,1.52,36,1.78,37,4.5929146874999995,0.03
D,172,James,5.0,5.0,Chelsea,0,0.0,0,0.0,0,0.0,39,1.88,48,2.11,57,2.98,54,3.22,53,8.20777,0.0
M,173,Kellyman,4.5,4.5,Chelsea,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
M,174,Lavia,4.5,4.5,Chelsea,29,0.97,30,1.07,33,1.19,30,1.05,30,1.03,32,1.15,33,1.21,35,3.9777296874999997,0.01
F,175,Lukaku,6.5,6.5,Chelsea,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.01
D,176,M.Sarr,4.5,4.5,Chelsea,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
M,177,Madueke,6.5,6.5,Chelsea,33,1.65,33,1.84,30,1.86,31,1.8,33,1.85,30,1.94,30,2.0,31,6.4591935625,0.01
F,178,Marc Guiu,5.0,5.0,Chelsea,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.01
M,179,Mudryk,6.5,6.5,Chelsea,32,1.56,32,1.82,33,2.05,34,1.97,35,1.97,33,2.06,32,2.15,33,6.739198499999999,0.0
F,180,N.Jackson,7.5,7.5,Chelsea,53,2.44,52,2.82,52,3.04,51,2.9,52,2.77,52,3.19,53,3.52,50,9.986897687499999,0.02
M,181,Nkunku,6.5,6.5,Chelsea,76,3.96,72,4.63,70,5.09,69,4.54,68,4.25,65,4.83,65,5.22,66,14.727710437499997,0.17
M,182,Palmer,10.5,10.5,Chelsea,84,4.75,85,5.7,82,6.46,80,5.54,80,5.33,81,6.4,80,6.84,82,18.76015525,0.39
G,183,Petrović,4.5,4.5,Chelsea,3,0.1,2,0.08,2,0.07,3,0.1,3,0.12,4,0.15,4,0.15,5,0.627187375,0.01
M,184,Renato Veiga,4.5,4.5,Chelsea,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
G,185,Sánchez,4.5,4.5,Chelsea,47,1.57,46,1.73,49,1.92,45,1.63,44,1.59,48,1.82,46,1.86,42,5.75139175,0.03
M,186,Sterling,7.0,7.0,Chelsea,26,1.39,26,1.61,28,1.9,28,1.78,26,1.63,29,2.0,31,2.27,27,6.0991005000000005,0.02
D,187,Tosin,4.5,4.5,Chelsea,29,0.72,28,1.04,27,1.09,28,0.97,25,0.82,26,0.99,27,1.18,28,3.0392477499999995,0.0
M,188,Ugochukwu,4.5,4.5,Chelsea,3,0.17,4,0.24,4,0.27,5,0.27,5,0.29,6,0.34,6,0.34,7,1.23658475,0.0
D,189,W.Fofana,4.5,4.5,Chelsea,28,0.75,31,1.2,37,1.49,39,1.39,39,1.24,38,1.47,39,1.72,40,4.270251624999999,0.0
M,190,Ahamada,4.5,4.5,Crystal Palace,1,0.07,2,0.11,2,0.11,3,0.18,3,0.18,4,0.19,4,0.2,5,0.8083601874999999,0.0
D,191,Andersen,4.5,4.5,Crystal Palace,91,2.73,88,3.01,87,1.8,86,3.7,87,2.64,84,2.73,83,2.1,83,9.895585374999998,0.21
M,192,J.Ayew,5.5,5.5,Crystal Palace,29,1.51,31,1.72,31,1.42,32,1.99,32,1.65,33,1.62,31,1.5,34,6.204085999999999,0.01
M,193,C.Doucouré,5.0,5.0,Crystal Palace,35,1.25,37,1.36,37,1.22,38,1.48,38,1.35,38,1.33,39,1.27,37,4.905736625,0.0
D,194,C.Richards,4.5,4.5,Crystal Palace,53,1.57,53,1.73,57,1.17,54,2.12,54,1.62,53,1.73,54,1.34,53,6.0544081875,0.0
D,195,Chadi Riad,4.5,4.5,Crystal Palace,4,0.11,5,0.14,5,0.12,6,0.21,7,0.21,10,0.32,9,0.22,10,1.1026451874999998,0.0
D,196,Clyne,4.5,4.5,Crystal Palace,12,0.42,14,0.53,17,0.47,21,0.91,20,0.71,20,0.73,23,0.69,22,2.9533969374999995,0.0
M,197,Ebiowei,4.5,4.5,Crystal Palace,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
F,198,Edouard,5.5,5.5,Crystal Palace,65,3.19,45,2.61,31,1.55,31,2.16,32,1.85,33,1.77,33,1.75,34,6.8856723125,0.01
M,199,Eze,7.0,7.0,Crystal Palace,84,4.75,78,5.12,75,3.81,74,5.17,75,4.47,72,3.91,72,3.88,74,15.622428187499999,0.35
D,200,Guéhi,4.5,4.5,Crystal Palace,91,2.82,89,3.07,88,1.85,87,3.67,86,2.67,85,2.81,86,2.16,85,9.809299,0.08
G,201,Henderson,4.5,4.5,Crystal Palace,89,3.23,88,3.23,88,2.97,87,3.48,86,3.03,83,3.04,83,2.78,84,11.1378338125,0.15
D,202,Holding,4.5,4.5,Crystal Palace,2,0.04,2,0.06,4,0.07,3,0.1,4,0.1,4,0.1,6,0.14,5,0.550998375,0.0
M,203,Hughes,5.0,5.0,Crystal Palace,9,0.42,11,0.49,14,0.54,13,0.61,15,0.62,14,0.57,15,0.61,15,2.385723875,0.0
G,204,Johnstone,4.5,4.5,Crystal Palace,6,0.2,7,0.26,7,0.23,8,0.31,9,0.33,12,0.44,11,0.39,10,1.5851501874999998,0.01
M,205,Kamada,5.5,5.5,Crystal Palace,56,2.66,58,3.04,58,2.53,57,3.42,54,2.7,56,2.69,55,2.55,54,9.95297025,0.01
M,206,Lerma,5.0,5.0,Crystal Palace,65,2.03,65,2.19,61,1.75,62,2.29,62,1.98,61,1.91,60,1.81,61,7.065754749999999,0.0
