Pos,ID,Name,BV,SV,Team,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
M,67,Cook,4.9,4.9,Bournemouth,23,0.82,23,0.88,28,1.04,28,1.05,28,0.97,30,1.07,31,1.04,29,1.02
M,68,Pearson,4.4,4.4,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,69,Christie,5.3,5.3,Bournemouth,39,1.60,37,1.76,36,1.70,37,1.85,38,1.61,37,1.61,38,1.58,39,1.67
M,70,Billing,5.2,5.2,Bournemouth,73,2.50,68,2.84,69,2.80,66,2.92,65,2.43,64,2.46,67,2.43,66,2.46
D,71,Mepham,4.3,4.3,Bournemouth,17,0.36,16,0.52,47,1.48,18,0.59,18,0.47,19,0.57,18,0.40,21,0.61
G,72,Travers,4.2,4.2,Bournemouth,2,0.07,2,0.07,2,0.09,5,0.19,4,0.15,4,0.16,5,0.18,6,0.21
D,73,Kelly,4.3,4.3,Bournemouth,81,1.55,79,2.66,77,2.47,72,2.39,74,1.92,73,2.17,74,1.57,71,2.03
M,74,Dembélé,4.7,4.7,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,75,Anthony,5.2,5.2,Bournemouth,15,0.78,16,0.92,18,1.03,18,1.11,21,1.06,20,1.03,21,1.08,22,1.13
D,76,Zemura,4.3,4.3,Bournemouth,14,0.40,14,0.57,34,1.26,20,0.78,20,0.65,20,0.71,18,0.52,19,0.67
G,77,Dennis,3.9,3.9,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,78,Jansson,4.2,4.2,Brentford,18,0.68,34,1.39,36,1.01,34,1.73,37,0.86,33,1.43,33,0.95,30,0.78
M,79,Nørgaard,5.3,5.3,Brentford,83,2.66,79,2.80,78,2.30,78,3.06,76,2.22,76,2.74,74,2.23,74,2.15
F,80,Toney,7.8,7.8,Brentford,74,3.64,39,2.20,21,0.91,20,1.26,12,0.53,11,0.66,14,0.62,11,0.48
G,81,Raya,4.9,4.9,Brentford,88,3.71,88,3.77,87,3.28,87,4.11,84,3.07,84,3.73,86,3.19,84,3.12
D,82,Canós,5.0,5.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,83,Dasilva,4.1,4.1,Brentford,31,1.47,33,1.69,34,1.48,33,1.87,32,1.41,31,1.62,31,1.39,29,1.29
D,84,Ajer,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,4,0.09,18,0.79,31,0.89,39,0.98
D,85,Henry,4.6,4.6,Brentford,84,2.98,79,3.04,76,1.95,76,3.69,77,1.62,75,3.11,72,1.88,68,1.59
M,86,Janelt,5.5,5.5,Brentford,52,1.97,52,2.11,51,1.77,51,2.26,49,1.68,51,2.07,48,1.70,48,1.65
M,87,Ghoddos,4.8,4.8,Brentford,3,0.20,7,0.44,9,0.44,11,0.69,11,0.56,10,0.58,8,0.41,8,0.40
M,88,Jensen,4.8,4.8,Brentford,70,2.77,67,2.94,68,2.43,63,3.13,67,2.41,66,2.98,64,2.40,63,2.28
M,89,Wissa,5.3,5.3,Brentford,36,1.94,44,2.63,49,2.28,51,3.45,53,2.43,52,3.19,52,2.53,49,2.28
D,90,Roerslev,4.3,4.3,Brentford,20,0.77,20,0.84,25,0.76,27,1.35,23,0.63,19,0.82,17,0.52,14,0.41
D,91,Bech,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,92,Pinnock,4.4,4.4,Brentford,85,3.10,81,3.21,78,2.03,77,3.80,78,1.66,75,3.18,74,1.93,75,1.74
M,93,Onyeka,4.8,4.8,Brentford,3,0.15,10,0.47,17,0.73,22,1.11,28,1.14,28,1.31,28,1.17,30,1.18
M,94,Baptiste,4.5,4.5,Brentford,12,0.54,14,0.68,13,0.60,16,0.86,15,0.67,14,0.72,17,0.78,16,0.73
F,95,Mbeumo,5.8,5.8,Brentford,75,3.29,74,3.91,75,3.06,74,4.39,72,3.04,73,3.96,71,3.07,74,2.99
D,96,Goode,3.9,3.9,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,97,Forss,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,98,Thompson,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,99,Bidstrup,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,100,Balcombe,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,101,Lallana,4.8,4.8,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,7,0.66,18,1.72,23,1.12
G,102,Steele,3.9,3.9,Brighton,88,3.56,0,0.00,86,3.97,84,7.37,83,4.13,83,6.08,83,7.25,81,3.40
F,103,Welbeck,6.5,6.5,Brighton,40,2.12,0,0.00,36,2.19,37,4.39,38,2.42,36,3.31,35,4.23,35,1.99
M,104,Groß,5.4,5.4,Brighton,75,3.02,0,0.00,76,3.63,74,6.78,72,3.71,73,5.17,72,6.63,71,3.04
D,105,Duffy,4.3,4.3,Fulham,0,0.02,1,0.05,2,0.06,3,0.16,2,0.07,3,0.12,2,0.10,2,0.06
D,106,Dunk,4.7,4.7,Brighton,87,3.10,0,0.00,84,4.20,82,7.23,83,4.41,83,4.35,82,6.99,82,3.20
M,107,March,5.2,5.2,Brighton,83,3.72,0,0.00,79,4.23,78,7.97,76,4.33,77,5.80,75,7.60,76,3.54
D,108,Webster,4.5,4.5,Brighton,81,2.80,0,0.00,77,3.72,75,6.41,75,3.91,72,3.77,74,6.15,73,2.76
D,109,Veltman,4.6,4.6,Brighton,67,2.27,0,0.00,59,2.80,59,4.97,61,3.12,56,2.92,54,4.43,53,1.98
F,110,Maupay,5.7,5.7,Everton,22,1.42,24,1.29,12,0.68,13,0.77,11,0.59,11,0.57,10,0.57,10,0.67
M,111,Trossard,6.7,6.7,Arsenal,39,2.71,37,3.17,36,1.90,37,2.50,37,2.14,36,2.52,37,2.77,36,2.83
D,112,Cucurella,5.0,5.0,Chelsea,26,1.03,0,0.00,24,1.24,27,0.83,29,1.41,27,1.58,27,1.70,30,1.32
G,113,Sánchez,4.5,4.5,Brighton,2,0.07,0,0.00,4,0.19,6,0.52,7,0.33,7,0.50,7,0.59,8,0.34
D,114,Lamptey,4.2,4.2,Brighton,2,0.08,0,0.00,21,1.09,29,2.69,31,1.74,31,2.02,32,2.97,32,1.37
M,115,Alzate,4.4,4.4,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,116,Mac Allister,5.5,5.4,Brighton,83,3.93,0,0.00,77,4.54,76,8.55,75,4.72,76,6.06,77,8.63,75,3.85
M,117,Moder,4.4,4.4,Brighton,0,0.01,0,0.00,4,0.24,6,0.66,8,0.43,7,0.66,6,0.65,6,0.32
M,118,Mwepu,5.3,5.3,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,119,Sarmiento,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.01,7,0.66,11,1.19,14,0.77
M,120,Caicedo,5.0,5.0,Brighton,80,2.30,0,0.00,77,2.52,68,4.32,62,2.19,74,3.88,72,4.54,72,2.15
M,121,Richards,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,122,Roberts,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,123,Undav,5.0,5.0,Brighton,9,0.56,0,0.00,15,1.03,19,2.45,20,1.37,15,1.63,16,2.11,13,0.89
M,124,Mitoma,5.7,5.4,Brighton,82,3.76,0,0.00,77,4.30,75,7.97,76,4.45,74,5.80,73,7.79,74,3.66
F,125,Enciso,4.6,4.6,Brighton,16,0.77,0,0.00,22,1.09,21,2.12,22,1.16,20,1.74,18,1.88,17,0.84
M,126,Kozłowski,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,127,Azpilicueta,4.7,4.7,Chelsea,15,0.59,0,0.00,15,0.74,17,0.51,16,0.75,20,1.07,20,1.26,20,0.84
D,128,Thiago Silva,5.4,5.4,Chelsea,61,2.07,0,0.00,60,2.82,61,1.48,59,2.61,61,3.32,58,2.91,59,2.27
D,129,Alonso,5.3,5.3,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,130,Jorginho,5.7,5.7,Arsenal,28,1.16,32,1.48,30,1.04,32,1.28,34,1.25,34,1.36,34,1.45,32,1.42
M,131,Barkley,4.9,4.9,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,132,Kovacic,4.9,4.9,Chelsea,64,2.09,0,0.00,59,2.20,57,1.71,57,2.07,56,2.27,56,3.41,54,1.85
G,133,Arrizabalaga,4.7,4.7,Chelsea,81,3.32,0,0.00,80,3.71,80,3.01,79,3.59,78,3.95,78,5.88,76,3.29
M,134,Kanté,4.8,4.8,Chelsea,28,1.11,0,0.00,46,1.80,45,1.47,43,1.67,45,1.89,44,2.90,46,1.66
M,135,Ziyech,5.5,5.5,Chelsea,8,0.53,0,0.00,7,0.54,7,0.41,9,0.63,8,0.61,9,0.99,9,0.58
M,136,Loftus-Cheek,5.0,5.0,Chelsea,24,1.08,0,0.00,21,1.07,21,0.91,20,1.01,19,1.05,21,1.81,20,0.95
F,137,Werner,7.9,7.9,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,138,Kenedy,3.9,3.9,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,139,Chilwell,6.0,5.9,Chelsea,62,2.58,0,0.00,65,3.64,59,1.74,59,3.14,60,3.91,61,3.70,56,2.61
M,140,Pulisic,5.6,5.6,Chelsea,25,1.34,0,0.00,22,1.37,23,1.12,25,1.45,24,1.54,23,2.23,23,1.25
D,141,Chalobah,4.4,4.4,Chelsea,5,0.18,0,0.00,3,0.14,4,0.14,4,0.19,5,0.28,5,0.33,5,0.22
M,142,Mount,7.2,7.2,Chelsea,47,2.50,0,0.00,47,2.90,46,2.02,47,2.83,48,3.30,45,4.13,45,2.45
D,143,Sarr,5.0,5.0,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,144,Hudson-Odoi,5.3,5.3,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,145,Havertz,7.5,7.5,Chelsea,65,3.54,0,0.00,66,4.14,66,2.84,60,3.61,63,4.41,61,5.55,59,3.16
D,146,James,5.8,5.8,Chelsea,61,2.70,0,0.00,67,3.99,63,1.96,66,3.71,62,4.27,64,4.07,64,3.12
G,147,Mendy,4.8,4.8,Chelsea,9,0.34,0,0.00,10,0.46,9,0.34,10,0.45,12,0.56,12,0.83,14,0.59
M,148,Gallagher,5.6,5.6,Chelsea,13,0.61,0,0.00,10,0.53,12,0.50,13,0.65,15,0.85,15,1.31,14,0.64
M,149,Gilmour,4.2,4.2,Brighton,17,0.72,0,0.00,18,0.83,20,1.74,24,1.10,17,1.34,15,1.40,16,0.68
F,150,Broja,5.2,5.2,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,151,Ampadu,4.4,4.4,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,152,Guaita,4.4,4.4,Crystal Palace,12,0.49,44,1.95,58,2.34,72,3.12,85,3.11,86,3.81,85,3.42,86,3.96
D,153,Tomkins,3.9,3.9,Crystal Palace,6,0.18,5,0.16,7,0.22,6,0.19,4,0.10,3,0.11,5,0.13,4,0.15
M,154,McArthur,4.8,4.8,Crystal Palace,6,0.27,7,0.33,9,0.39,9,0.41,8,0.36,7,0.36,7,0.32,7,0.34
F,155,Benteke,5.5,5.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,156,Ward,4.4,4.4,Crystal Palace,69,2.39,67,2.62,66,2.13,62,2.25,62,1.38,59,2.33,60,1.89,59,2.53
D,157,Clyne,4.5,4.5,Crystal Palace,36,1.41,38,1.62,40,1.46,41,1.67,39,1.07,39,1.71,37,1.33,39,1.84
M,158,Milivojevic,4.2,4.2,Crystal Palace,16,0.80,16,0.80,18,0.82,18,0.87,17,0.75,18,0.89,16,0.74,16,0.81
M,159,J.Ayew,5.2,5.2,Crystal Palace,61,2.87,59,2.80,62,2.60,59,2.80,56,2.21,52,2.69,53,2.33,51,2.69
M,160,Zaha,7.2,7.2,Crystal Palace,0,0.00,0,0.00,0,0.00,10,0.55,38,1.63,67,3.95,78,3.87,79,4.76
M,161,Schlupp,4.7,4.7,Crystal Palace,71,3.13,68,3.05,67,2.71,66,2.87,62,2.21,56,2.57,56,2.22,54,2.50
G,162,Butland,4.4,4.4,Man Utd,2,0.07,0,0.00,2,0.09,2,0.16,3,0.11,3,0.13,4,0.38,4,0.17
M,163,Hughes,4.8,4.8,Crystal Palace,18,0.83,17,0.80,18,0.81,19,0.91,18,0.77,16,0.80,16,0.71,14,0.68
M,164,Riedewald,4.2,4.2,Crystal Palace,2,0.10,3,0.18,3,0.15,3,0.16,3,0.13,2,0.13,2,0.13,3,0.18
D,165,Andersen,4.5,4.5,Crystal Palace,86,3.11,83,3.40,81,2.69,77,3.02,77,1.83,77,3.29,75,2.52,77,3.58
F,166,Edouard,5.0,5.0,Crystal Palace,44,2.30,56,2.88,56,2.60,56,2.91,48,2.11,47,2.60,45,2.20,47,2.66
D,167,Guéhi,4.4,4.4,Crystal Palace,86,2.99,82,3.25,79,2.55,77,2.87,78,1.75,77,3.10,76,2.43,76,3.38
F,168,Mateta,5.1,5.1,Crystal Palace,36,2.13,35,2.08,34,1.83,36,2.11,33,1.64,27,1.76,27,1.51,27,1.74
M,169,Eze,5.4,5.4,Crystal Palace,70,3.59,70,3.61,66,3.02,64,3.35,63,2.56,58,3.15,55,2.56,57,3.06
D,170,Mitchell,4.4,4.4,Crystal Palace,75,2.81,71,3.01,68,2.40,68,2.75,66,1.67,64,2.79,65,2.27,62,2.96
M,171,Olise,5.4,5.4,Crystal Palace,76,3.65,72,3.53,71,3.08,71,3.47,66,2.60,67,3.49,65,2.89,63,3.37
M,172,Rak-Sakyi,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,173,Ebiowei,4.2,4.2,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,174,Ferguson,3.9,3.9,Crystal Palace,0,0.00,1,0.05,2,0.08,4,0.17,9,0.23,13,0.53,11,0.37,13,0.59
G,175,Johnstone,4.4,4.4,Crystal Palace,77,3.25,45,2.00,31,1.25,17,0.71,5,0.17,4,0.18,5,0.20,4,0.18
G,176,Begović,3.9,3.9,Everton,2,0.07,1,0.06,3,0.11,4,0.16,4,0.14,4,0.16,4,0.17,4,0.20
F,177,Rondón,4.9,4.9,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,178,Coleman,4.3,4.3,Everton,54,2.59,67,2.70,65,2.27,63,2.32,64,1.74,62,1.64,60,2.36,60,2.96
M,179,Townsend,5.4,5.4,Everton,0,0.00,0,0.00,0,0.00,0,0.00,2,0.11,5,0.25,8,0.42,8,0.51
D,180,Keane,4.2,4.2,Everton,85,3.89,81,3.06,80,2.58,76,2.62,75,1.82,74,1.73,76,2.78,72,3.36
M,181,Dele,5.3,5.3,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,182,Pickford,4.4,4.4,Everton,88,3.91,89,3.69,87,3.43,86,3.43,86,3.16,86,3.12,86,3.52,85,3.85
M,183,Allan,4.8,4.8,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,184,André Gomes,4.5,4.5,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,185,A.Doucouré,5.3,5.3,Everton,0,0.00,0,0.00,74,2.58,72,2.77,71,2.34,70,2.25,71,2.58,70,3.06
M,186,Iwobi,5.1,5.1,Everton,84,3.84,78,3.01,76,2.77,74,2.93,74,2.50,72,2.40,69,2.60,70,3.15
M,187,Gbamin,4.5,4.5,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,188,Mina,4.3,4.3,Everton,2,0.07,3,0.10,4,0.12,5,0.20,7,0.22,7,0.21,15,0.62,8,0.35
M,189,Gray,5.2,5.2,Everton,64,3.99,62,3.17,44,2.08,43,2.22,45,1.90,44,1.85,46,2.18,45,2.61
M,190,Davies,4.9,4.9,Everton,39,1.75,39,1.57,19,0.83,19,0.86,19,0.79,21,0.86,19,0.82,21,0.99
F,191,Calvert-Lewin,7.9,7.9,Everton,9,0.62,21,1.21,59,2.76,68,3.58,70,2.98,69,2.86,69,3.30,69,4.12
D,192,Holgate,4.2,4.2,Everton,9,0.37,6,0.24,5,0.17,7,0.23,7,0.18,8,0.20,13,0.44,8,0.33
D,193,Godfrey,4.3,4.3,Everton,60,2.65,57,2.11,53,1.70,56,1.87,55,1.33,55,1.29,57,2.03,54,2.43
D,194,Mykolenko,4.1,4.1,Everton,33,1.52,34,1.36,37,1.26,32,1.17,33,0.90,34,0.90,33,1.28,34,1.63
M,195,Gordon,5.1,5.1,Newcastle,44,2.19,49,2.50,42,2.10,40,2.42,35,1.74,33,3.41,29,1.93,30,1.45
D,196,Branthwaite,4.0,4.0,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,197,Patterson,3.9,3.9,Everton,26,1.17,19,0.73,20,0.67,21,0.76,21,0.59,21,0.58,24,0.92,23,1.01
D,198,Nkounkou,4.0,4.0,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,199,Tarkowski,4.2,4.2,Everton,86,3.78,82,2.94,80,2.42,79,2.55,77,1.75,77,1.67,77,2.67,77,3.41
M,200,Cairney,4.7,4.7,Fulham,15,0.73,19,0.99,23,1.06,24,2.06,25,1.28,24,1.14,26,1.25,26,1.06
D,201,Ream,4.6,4.6,Fulham,86,2.50,86,2.81,84,2.04,83,2.78,83,2.78,82,2.62,82,3.02,81,1.33
M,202,Knockaert,4.7,4.7,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,203,Chalobah,4.4,4.4,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,204,Kebano,5.4,5.4,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,205,De Cordova-Reid,5.4,5.4,Fulham,52,2.21,51,2.53,51,2.15,54,4.05,54,2.68,51,2.25,48,2.23,47,1.76
D,206,Bryan,4.4,4.4,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,207,Gazzaniga,4.0,4.0,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,208,Kongolo,3.9,3.9,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,209,Tosin,4.4,4.4,Fulham,32,1.03,33,1.20,38,1.01,37,1.38,39,1.43,37,1.27,39,1.54,42,0.73
F,210,Mitrović,6.6,6.6,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,77,4.00,76,4.13,76,3.00
